,state,date,value
1511,NY,20161018,62583.65015259128
1512,NY,20161019,45043.14346685576
1513,NY,20161020,77042.2177857404
1514,NY,20161021,55628.32166389506
1515,NY,20161022,47072.96138897664
1516,NY,20161023,63921.368040200774
1517,NY,20161024,57396.574360578874
1518,NY,20161025,61820.079782214365
1519,NY,20161026,75771.88044552886
1520,NY,20161027,66973.88252619599
1521,NY,20161028,61070.463023120734
1522,NY,20161029,65097.206098754774
1523,NY,20161030,66357.49020481035
1524,NY,20161031,64855.36133193933
1525,NY,20161101,63182.680387344226
1526,NY,20161102,61472.59078661854
1527,NY,20161103,72514.92533673896
1528,NY,20161104,60001.52588669581
1529,NY,20161105,54890.885044034345
1530,NY,20161106,55861.90160481012
1531,NY,20161107,73704.15181742115
1532,NY,20161108,79124.61038090725
1533,NY,20161109,77339.77273596774
1534,NY,20161110,51942.91711543638
1535,NY,20161111,71236.64642298664
1536,NY,20161112,72323.36092779935
1537,NY,20161113,78326.12717985606
1538,NY,20161114,58527.834175079974
1539,NY,20161115,78959.80264709855
1540,NY,20161116,72605.91133249429
1541,NY,20161117,70459.98663057951
1542,NY,20161118,82829.95408316355
1543,NY,20161119,68879.1062406861
1544,NY,20161120,48402.509014815965
1545,NY,20161121,69515.71842128232
1546,NY,20161122,58852.964774464366
1547,NY,20161123,52853.29695199621
1548,NY,20161124,39750.02846688314
1549,NY,20161125,25702.4357162676
1550,NY,20161126,38571.3385301512
1551,NY,20161127,43431.091457225964
1552,NY,20161128,80514.88577045739
1553,NY,20161129,65513.6112948596
1554,NY,20161130,66778.09849733284
1555,NY,20161201,83279.86690457513
1556,NY,20161202,61345.30429308286
1557,NY,20161203,49680.356286947186
1558,NY,20161204,49272.50789188453
1559,NY,20161205,78312.4631078348
1560,NY,20161206,68725.88626528338
1561,NY,20161207,66471.26092669369
1562,NY,20161208,72733.44288340678
1563,NY,20161209,54605.069745942106
1564,NY,20161210,75341.773752759
1565,NY,20161211,60126.16113669202
1566,NY,20161212,88149.51774801359
1567,NY,20161213,68637.61391707628
1568,NY,20161214,88602.16009375818
1569,NY,20161215,77511.39085643836
1570,NY,20161216,103639.8885420221
1571,NY,20161217,93963.31882650024
1572,NY,20161218,71052.60023016612
1573,NY,20161219,85921.20612923897
1574,NY,20161220,99514.23766618513
1575,NY,20161221,77092.52590959697
1576,NY,20161222,87302.5046741156
1577,NY,20161223,85615.51122447164
1578,NY,20161224,72501.5256690638
1579,NY,20161225,81122.59579976152
1580,NY,20161226,82490.24934232561
1581,NY,20161227,102664.66998478645
1582,NY,20161228,97309.426241367
1583,NY,20161229,111157.40295164053
1584,NY,20161230,71596.94278206702
1585,NY,20161231,95272.52961452672
1586,NY,20170101,98584.42116266582
1587,NY,20170102,120035.8339287151
1588,NY,20170103,110842.89356788226
1589,NY,20170104,84454.85906440734
1590,NY,20170105,104005.2096595584
1591,NY,20170106,110418.84685188149
1592,NY,20170107,98299.97140040582
1593,NY,20170108,96297.94967956886
1594,NY,20170109,98383.52149478486
